,歌曲名称,歌曲信息
152,背对背拥抱,《背对背拥抱》是林俊杰演唱的一首歌曲，由林怡凤作词，林俊杰作曲，吴庆隆编曲，收录在林俊杰2009年12月18日发行的专辑《100天》中。
153,她说,《她说》是由孙燕姿填词，林俊杰谱曲并演唱的歌曲，收录于林俊杰2010年12月8日发行的专辑《她说》中。
154,爱笑的眼睛,《爱笑的眼睛》林俊杰版本，由洪瑞业作词，林俊杰作曲，2005年发行于中国台湾女歌手徐若瑄的专辑《狠狠爱》中 [1]，后由林俊杰重新演唱收录在2010年12月8日发行的概念自选辑《她说》。
155,就是我,《就是我》是林俊杰演唱的歌曲，由张思尔作词，林俊杰作曲，Case Woo编曲，林俊杰、许环良共同制作，收录在林俊杰2003年4月4日发行的个人首张录音室专辑《乐行者》中 [2]。
156,会读书,歌曲《会读书》，由林俊杰演唱，张思尔填词，林俊杰谱曲，收录在专辑《乐行者》中。 [1]
157,第二天堂,《第二天堂》是林俊杰演唱的歌曲，由林秋离、张良忠作词，林俊杰作曲，林俊杰、Jacob Lin编曲 [1]，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中。 [2]
158,子弹列车,《子弹列车》是林俊杰演唱的歌曲，由方文山作词，林俊杰作曲，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中 [1]。
159,编号89757,《编号89757》是林俊杰2005年发行的全创作专辑 [1]。专辑共收录十二首歌曲，作词者包括林俊杰、林秋离等人，作曲全部由林俊杰一人完成。
160,木乃伊,《木乃伊》是林俊杰演唱的歌曲，由林秋离、简胜作词，林俊杰作曲，收录在林俊杰2005年4月1日发行的专辑《编号89757》中。 [1]
161,曹操,《曹操》是林俊杰于2006年2月17日发行的音乐专辑，由林俊杰担任制作人，共收录11首歌曲（中国大陆版为10首歌曲，马来西亚版为12首歌曲）。
162,波间带,《波间带》是林俊杰演唱的歌曲，由林秋离作词，林俊杰作曲，收录在林俊杰2006年2月17日发行的专辑《曹操》中。
163,杀手,《杀手》是林俊杰演唱的歌曲，由林秋离作词，林俊杰作曲，收录在林俊杰2007年6月29日发行的专辑《西界》中。 [1]
164,不潮不用花钱,《不潮不用花钱》是林俊杰演唱的一首歌曲，由林怡凤、林俊杰（Rap部分）作词，林俊杰作曲，林俊杰、Kenn C共同编曲，王宇婕演唱女声Rap部分 [1]，收录在林俊杰2008年10月18日发行的专辑《JJ陆》中 [2]。
165,街道,《街道》是由林俊杰演唱的歌曲，由Dr Moon和Mr Mars作词，林俊杰作曲，收录于林俊杰2008年10月18日发行的专辑《JJ陆》中。
166,期待爱,《期待爱》是林俊杰和金莎合唱的歌曲，由林怡凤、许环良作词，林俊杰作曲，首发于2008年1月21日 [1]，收录在林俊杰2008年10月18日发行的专辑《JJ陆》中 [2]。
167,X,《X》是林俊杰演唱的歌曲，由林秋离作词，林俊杰作曲、编曲 [2]，收录在林俊杰2009年12月18日发行的专辑《100天》中 [1]。
168,加油！,《加油!》是林俊杰的音乐作品，林俊杰作曲，收录在《他是...JJ林俊杰》专辑中。
169,跟屁虫,《跟屁虫》是林俊杰演唱的歌曲，由Dr. Moon（林子钦）作词，林俊杰作曲，收录在林俊杰2009年12月18日发行的专辑《100天》中。 [1]
170,独奏,《独奏》是林俊杰创作的纯音乐，由林俊杰作曲，收录在林俊杰2011年12月31日发行的专辑《学不会》中。 [1]
171,学不会,《学不会》是由姚若龙作词，林俊杰作曲并演唱的歌曲，收录于林俊杰2011年12月31日发行的专辑《学不会》中。
172,故事细腻,《故事细腻》是林俊杰演唱的歌曲，歌曲由方文山作词，林俊杰作曲，收录在林俊杰2011年12月31日发行的专辑《学不会》中。 [1]
173,那些你很冒险的梦,《那些你很冒险的梦》是林俊杰演唱的歌曲，由王雅君作词，林俊杰作曲，收录在林俊杰2011年12月30日发行的专辑《学不会》中 [2]。
174,白羊梦,《白羊梦》是林俊杰演唱的歌曲，由葛大为作词，林俊杰作曲，收录在林俊杰2011年12月31日发行的专辑《学不会》中。 [1]
175,灵魂的共鸣,《灵魂的共鸣》是林俊杰演唱的一首歌曲，由吴易纬作词，林俊杰作曲，歌曲邀请来了郎朗共同演奏钢琴部分，收录在林俊杰2011年12月30日发行的专辑《学不会 Lost N Found》中 [3]。
176,We Together,《We Together》是林俊杰演唱的一首歌曲，由天天作词，林俊杰作曲，收录在林俊杰2011年12月31日发行的专辑《学不会 Lost N Found》中。2012年，这首歌曲的MV获得了音悦V榜港台榜周冠军 [1]。
177,Cinderella,《Cinderella》是林俊杰2011年音乐专辑《学不会 Lost N Found》中唯一的英文歌曲，词曲均由林俊杰完成。以Jazz旋律为基调，口吻浪漫，歌词诗意，并渗透着百老汇般斯文且成熟的男人味，有别于中文歌曲，可以听到相当不同的林俊杰，也是华人音乐中少见的音乐风格。 [1]
178,白兰花,《白兰花》是林俊杰演唱的一首歌曲，由林俊杰作曲，林秋离填词，收录在林俊杰2011年发行的专辑《学不会 Lost N Found》中 [1]。
179,陌生老朋友,《陌生老朋友》是林俊杰演唱的歌曲，由林夕作词，林俊杰作曲，收录在林俊杰2011年12月31日发行的专辑《学不会》中。 [1]
180,不存在的情人,《不存在的情人》是林俊杰演唱的一首歌曲，由林俊杰作曲，吴青峰填词，收录在林俊杰2011年12月30日发行的专辑《学不会 Lost N Found》中 [1]。
181,Love U U,《Love you you》是林俊杰演唱的一首歌曲，由林俊杰作曲、林天爱作词、蔡政勋编曲，是电影《夏日乐悠悠》的主题曲。收录在林俊杰2011年发行的专辑《学不会 Lost N Found》中。
182,她说,《她说》是由孙燕姿填词，林俊杰谱曲并演唱的歌曲，收录于林俊杰2010年12月8日发行的专辑《她说》中。
183,爱笑的眼睛,《爱笑的眼睛》林俊杰版本，由洪瑞业作词，林俊杰作曲，2005年发行于中国台湾女歌手徐若瑄的专辑《狠狠爱》中 [1]，后由林俊杰重新演唱收录在2010年12月8日发行的概念自选辑《她说》。
184,只对你有感觉,《只对你有感觉》是飞轮海和田馥甄合唱的一首歌曲，由张家玮作词、林俊杰作曲，该歌曲是电视剧《东方茱丽叶》的插曲。
185,当你,《当你》是王心凌演唱的歌曲，由张思尔填词，林俊杰谱曲，收录在专辑《Cyndi Begin》中。 [2]
186,一眼万年,《一眼万年》是S.H.E演唱的一首慢板抒情歌曲，由姚若龙填词，林俊杰谱曲，洪敬尧编曲 [1]。该歌曲是古装偶像剧《天外飞仙》的主题曲，最早收录于台湾华研国际音乐股份有限公司2006年2月10日发行的原声带专辑《天外飞仙电视原声带》中 [2]，后收录于S.H.E2006年7月21日由台湾华研国际音乐股份有限公司发行的《Forever 新歌+精选》 [3]中。
187,保护色,《保护色》是林俊杰和张韶涵演唱的歌曲，由王雅君、陈淑秋、林俊杰（Rap部分）作词，林俊杰作曲，收录在林俊杰2010年12月8日发行的概念自选辑《她说》中。
188,握不住的他,《握不住的他》是林俊杰演唱的歌曲，由林怡凤作词，林俊杰作曲，收录在林俊杰2010年12月8日发行的概念自选辑《她说》中。 [1]
189,心墙,《心墙》是电视剧《花样男子》的片尾曲和电视剧《海豚爱上猫》的插曲。歌曲由姚若龙作词，林俊杰作曲，郭静演唱，收录在其2009年发行的专辑《在树上唱歌》中。2009年，《心墙》获新加坡年度金曲奖以及中国原创音乐流行榜港台地区金曲奖。
190,我很想爱他,《我很想爱他》是由何启弘作词，林俊杰作曲，Twins演唱的一首歌曲，收录于Twins2006年6月15日发行的专辑《八十块环游世界》中。
191,一生的爱,《一生的爱》是林俊杰演唱的歌曲，由吴剑泓作词，林俊杰作曲，收录在林俊杰2010年12月8日发行的概念自选辑《她说》中。
192,记得,《记得》是张惠妹演唱的歌曲，易家扬作词，林俊杰作曲，吴庆隆编曲，收录在张惠妹2001年10月29日由华纳唱片发行的专辑《真实》中 [5]。该歌曲也是电视剧《两个女人的战争》的片头曲。
193,完美新世界,《完美新世界》是林俊杰演唱的歌曲，由林怡凤、Venus作词，林俊杰作曲，首发于2010年11月3日 [1]，收录在林俊杰2010年12月8日发行的概念自选辑《她说》中。
194,I AM,《I AM》是由林秋离作词，林俊杰作曲、演唱的一首歌曲，收录在他2010年发布的专辑《她说》中 [1]。这首歌也是林俊杰2010《I AM》世界巡回演唱会主题曲。 [2]
195,真材实料的我,《真材实料的我》 是林俊杰演唱的而歌曲，有Dr.Moon（林子钦）作词，林俊杰作曲，首发于2010年7月7日 [1]，收录在林俊杰2010年12月8日发行的概念自选辑《她说》（内地版、香港版）中。
196,Cheer Singapore,《Cheer Singapore》是林俊杰2010年4月为了新加坡青奥会所创作的单曲，意思为欢乐新加坡。
197,感动每一刻,《感动每一刻》由林俊杰作曲，歌词则由台湾著名作词人林秋离、本地著名制作人许环良和作词人Venus共同创作。
198,X,《X》是林俊杰演唱的歌曲，由林秋离作词，林俊杰作曲、编曲 [2]，收录在林俊杰2009年12月18日发行的专辑《100天》中 [1]。
199,第几个100天,《第几个100天》是林俊杰演唱的歌曲，由姚若龙作词，林俊杰作曲，首发于2009年12月2日 [1]，收录在林俊杰2009年12月18日推出的专辑《100天》中。
200,加油！,《加油!》是林俊杰的音乐作品，林俊杰作曲，收录在《他是...JJ林俊杰》专辑中。
201,无法克制,《无法克制》是林俊杰演唱的歌曲，由姚若龙作词，林俊杰作曲，收录在林俊杰2009年12月18日发行的专辑《100天》中。 [2]
202,背对背拥抱,《背对背拥抱》是林俊杰演唱的一首歌曲，由林怡凤作词，林俊杰作曲，吴庆隆编曲，收录在林俊杰2009年12月18日发行的专辑《100天》中。
203,跟屁虫,《跟屁虫》是林俊杰演唱的歌曲，由Dr. Moon（林子钦）作词，林俊杰作曲，收录在林俊杰2009年12月18日发行的专辑《100天》中。 [1]
204,一个又一个,《一个又一个》是林俊杰演唱的歌曲，由林宇中作词，林俊杰作曲，收录在林俊杰2009年12月18日发行的专辑《100天》中。
205,爱不会绝迹,《爱不会绝迹》是动画片《恐龙宝贝之龙神勇士》的主题曲，由王雅君作词，林俊杰作曲并演唱 [3]，于2009年7月发行 [4]，后收录在林俊杰同年12月18日由海蝶音乐发行的专辑《100天》中 [1]。
206,转动,《转动》是林俊杰演唱的歌曲，由廖莹如、许环良作词，林俊杰作曲，收录在林俊杰2009年12月18日发行的专辑《100天》中。 [1]
207,妈妈的娜鲁娃,《妈妈的娜鲁娃》是林俊杰演唱的歌曲，由张美香、许环良作词，林俊杰作曲，收录在林俊杰2009年12月18日发行的专辑《100天》中 [1]。
208,Still Moving Under Gunfire,《Still Moving Under Gunfire》是林俊杰演唱的歌曲，由林俊杰、MC Vader（Rap部分）作词，林俊杰作曲，收录在林俊杰2009年12月18日发行的专辑《100天》中。
209,表达爱,《表达爱》是林俊杰与廖君合唱的一首歌曲。由林怡凤、许环良、林蔚利作词，林俊杰作曲，首发于2009年2月14日，收录在林俊杰2009年12月18日发行的专辑《100天》中。 [1]
210,微笑上海,《微笑上海》是由陈少琪作词，庄冬昕作曲，由刘德华、李玟、林俊杰、羽·泉、张靓颖、萧敬腾、陈绮贞等歌手于2009年10月13日演唱的一首歌曲。该歌曲是2010年上海世博会倒计时200天纪念歌曲。
211,SIXOLOGY,《Sixology》是林俊杰创作的音乐，由林俊杰作曲，林俊杰口白，收录在林俊杰2008年10月18日发行的专辑《JJ陆》中。 [1]
212,不潮不用花钱,《不潮不用花钱》是林俊杰演唱的一首歌曲，由林怡凤、林俊杰（Rap部分）作词，林俊杰作曲，林俊杰、Kenn C共同编曲，王宇婕演唱女声Rap部分 [1]，收录在林俊杰2008年10月18日发行的专辑《JJ陆》中 [2]。
213,小酒窝,《小酒窝》是林俊杰和蔡卓妍合唱的歌曲，由王雅君作词，林俊杰作曲，林俊杰、吴剑泓共同编曲 [1]，首发于2008年9月29日 [2]，收录在林俊杰2008年10月18日由海蝶音乐发行的专辑《JJ陆》 [3]以及蔡卓妍2009年4月6日由英皇娱乐发行的专辑《二缺一》中 [4] 。
214,黑武士,《黑武士》是林俊杰演唱的一首歌曲，由陈信宏（五月天阿信）作词，林俊杰作曲，收录在林俊杰2008年10月18日发行的专辑《JJ陆》中。
215,醉赤壁,《醉赤壁》是林俊杰演唱的歌曲，由方文山作词，林俊杰作曲，蔡政勋编曲 [1]，收录在林俊杰2008年10月18日发行的专辑《JJ陆》中。 [2]
216,由你选择,《由你选择》是林俊杰和农夫FAMA合唱的歌曲，由农夫FAMA作词，林俊杰作曲，收录在林俊杰2008年10月18日发行的专辑《JJ陆》中。
217,Always Online,《Always Online》是林俊杰演唱的一首歌曲，由林怡凤作词，林俊杰作曲，陈建玮、蔡政勋编曲 [1]，收录在林俊杰2008年10月18日发行的专辑《JJ陆》中。 [2-3]
218,街道,《街道》是由林俊杰演唱的歌曲，由Dr Moon和Mr Mars作词，林俊杰作曲，收录于林俊杰2008年10月18日发行的专辑《JJ陆》中。
219,主角,《主角》是林俊杰和Machi（麻吉）（Rap部分）演唱的歌曲，由黄立成（Jeff）、崔惟楷（Luke）、洪健钧（Don P）、费聿锋（Suffa）和Mr.Mars作词，林俊杰作曲，收录在林俊杰2008年10月18日发行的专辑《JJ陆》中。 [1]
220,我还想她,《我还想她》是林俊杰演唱的一首歌曲，由邢增华作词，林俊杰作曲，收录在林俊杰于2008年10月18日发行的专辑《JJ陆》中。该歌曲也是2011年播出的电视剧《爱情睡醒了》的插曲。 [1-2]
221,点一把火炬,《点一把火炬》是林俊杰演唱的歌曲，由许环良作词，林俊杰作曲，首发于2008年6月由SAMSUNG Anycall为2008年北京奥运会火炬传递特别制作，收录在林俊杰2008年10月18日发行的专辑《JJ陆》中。 [1]
222,期待爱,《期待爱》是林俊杰和金莎合唱的歌曲，由林怡凤、许环良作词，林俊杰作曲，首发于2008年1月21日 [1]，收录在林俊杰2008年10月18日发行的专辑《JJ陆》中 [2]。
223,Cries in a Distance,《Cries In A Distance》是林俊杰演唱的歌曲，由林俊杰作词、作曲，收录在2008年10月18日发行的专辑《JJ陆》中。
224,爱与希望,《爱与希望》是林俊杰演唱的一首赈灾励志歌曲，由王雅君作词，林俊杰作曲、编曲，首发于2008年5月15日，后收录在林俊杰2008年10月18日发行的专辑《JJ陆》中 [1]。该歌曲是林俊杰为5·12汶川地震特别制作的赈灾励志歌曲。
225,听见幸福,《听见幸福》是林俊杰演唱的歌曲，由林宇中填词，林宇中谱曲。 [2]
226,Hurray一起摇,《Hurray一起摇》是林俊杰演唱的歌曲，由林宇中、许环良作词，林俊杰作曲。 [1]
227,独白,《独白》是林俊杰创作的音乐，由林俊杰作曲，王传一口白，收录在林俊杰2007年6月29日发行的专辑《西界》中。
228,杀手,《杀手》是林俊杰演唱的歌曲，由林秋离作词，林俊杰作曲，收录在林俊杰2007年6月29日发行的专辑《西界》中。 [1]
229,西界,《西界》是林俊杰2007年发行的专辑 [1]。作词者包括林秋离、林怡凤等人，作曲由林俊杰一人完成，全专辑共收录13首歌曲。
230,杀手@续,《杀手@续》是林俊杰演唱的歌曲，由林秋离作词，林俊杰作曲，收录在林俊杰2007年6月29日发行的专辑《西界》中。 [1]
231,无聊,《无聊》是林俊杰演唱的一首歌曲，由林秋离作词，林俊杰作曲，收录在林俊杰2007年6月29日发行的专辑《西界》中。 [1]
232,K-O,《K-O》是林俊杰演唱的歌曲，由林秋离、林子钦（Rap部分）作词，林俊杰作曲，收录在林俊杰2007年6月29日发行的专辑《西界》中。 [1]
233,大男人·小女孩,《大男人·小女孩》是林俊杰作词、作曲并演唱的歌曲，收录于林俊杰2007年6月29日发行的专辑《西界》中。 [1]
234,单挑,《单挑》是林俊杰创作的音乐，由林俊杰作曲，林俊杰、张怀颢（Mike）口白，收录在林俊杰2007年6月29日发行的专辑《西界》中。 [1]
235,L-O-V-E,《L-O-V-E》是林俊杰、洪俊扬合唱的歌曲，由林怡凤作词，林俊杰作曲，收录在林俊杰2007年6月29日发行的专辑《西界》及洪俊扬2006年5月26日发行的专辑《独角兽》中。 [1]
236,发现爱,《发现爱》是林俊杰和金莎合唱的一首歌曲，由林怡凤作词，林俊杰作曲，首发于2007年2月14日，收录在林俊杰2007年6月29日发行的专辑《西界》中。
237,不流泪的机场,《不流泪的机场》是林俊杰演唱的歌曲，由陈嘉文作词，林俊杰作曲，收录在林俊杰2007年6月29日发行的专辑《西界》中。
238,Baby Baby,《baby baby》是林俊杰演唱的歌曲，由林秋离、林宇中作词，林俊杰作曲，收录在林俊杰2007年6月29日发行的专辑《西界》中。
239,自由不变,《自由不变》是林俊杰演唱的歌曲，由林秋离作词，林俊杰作曲，收录在林俊杰2007年6月29日发行的专辑《西界》中。
240,忘记,《忘记》是林俊杰演唱的歌曲，由林秋离作词，林俊杰作曲，收录在林俊杰2006年12月29日发行的专辑《2006就是俊杰世界巡回演唱会》中。 [1]
241,忘记,《忘记》是林俊杰演唱的歌曲，由林秋离作词，林俊杰作曲，收录在林俊杰2006年12月29日发行的专辑《2006就是俊杰世界巡回演唱会》中。 [1]
242,忘记,《忘记》是林俊杰演唱的歌曲，由林秋离作词，林俊杰作曲，收录在林俊杰2006年12月29日发行的专辑《2006就是俊杰世界巡回演唱会》中。 [1]
243,曹操,《曹操》是林俊杰于2006年2月17日发行的音乐专辑，由林俊杰担任制作人，共收录11首歌曲（中国大陆版为10首歌曲，马来西亚版为12首歌曲）。
244,熟能生巧,《熟能生巧》是林俊杰演唱的歌曲，由林秋离作词，林俊杰作曲，收录在林俊杰2006年2月17日发行的专辑《曹操》中。 [1]
245,波间带,《波间带》是林俊杰演唱的歌曲，由林秋离作词，林俊杰作曲，收录在林俊杰2006年2月17日发行的专辑《曹操》中。
246,原来,《原来》是张思尔、林秋离作词，林俊杰作曲、演唱的一首歌曲，收录在林俊杰2006年2月17日发行的音乐专辑《曹操》中。 [1]
247,不死之身,《不死之身》是林俊杰演唱的一首歌曲，由林秋离、张思尔作词，林俊杰作曲，收录在林俊杰2006年2月17日发行的专辑《曹操》中。 [1]
248,爱情Yogurt,《爱情yogurt》是林俊杰演唱的歌曲，由林怡凤作词，林俊杰作曲，收录在林俊杰2006年2月17日发行的专辑《曹操》中。
249,进化论,《进化论》是林俊杰演唱的歌曲，由陈镇川作词，林俊杰作曲，收录在林俊杰2006年2月17日发行的专辑《曹操》中。 [1]
250,Now That She's Gone,《Now That She's Gone》是林俊杰演唱的歌曲，由林俊杰作词、作曲，收录在林俊杰2006年2月17日发行的专辑《曹操》中。
251,你要的不是我,《你要的不是我》是林俊杰演唱的歌曲，由林怡凤作词、林俊杰作曲，收录在林俊杰2006年2月17日发行的专辑《曹操》中。 [1]
252,流行主教,《流行主教》是林俊杰演唱的歌曲，由林宇中作词，林俊杰作曲，收录在林俊杰2006年1月23日发行的专辑《曹操》的预售版中，以及收录在林俊杰2006年2月21日发行的专辑《曹操》（马来西亚版）中。 [1]
253,流行主教,《流行主教》是林俊杰演唱的歌曲，由林宇中作词，林俊杰作曲，收录在林俊杰2006年1月23日发行的专辑《曹操》的预售版中，以及收录在林俊杰2006年2月21日发行的专辑《曹操》（马来西亚版）中。 [1]
254,一千年以前,《一千年以前》是林俊杰创作的纯音乐，收录在林俊杰2005年4月1日发行的专辑《编号89757》中。
255,木乃伊,《木乃伊》是林俊杰演唱的歌曲，由林秋离、简胜作词，林俊杰作曲，收录在林俊杰2005年4月1日发行的专辑《编号89757》中。 [1]
256,编号89757,《编号89757》是林俊杰2005年发行的全创作专辑 [1]。专辑共收录十二首歌曲，作词者包括林俊杰、林秋离等人，作曲全部由林俊杰一人完成。
257,莎士比亚的天份,《莎士比亚的天份》是林俊杰演唱的歌曲，由林俊杰作词、作曲，收录于林俊杰2005年4月1日发行的专辑《编号89757》中。
258,突然累了,《突然累了》是林俊杰演唱的歌曲，由林秋离填词，林俊杰谱曲，收录在专辑《编号89757》中。
259,明天,《明天》是林俊杰演唱的歌曲，由李瑞洵作词，林俊杰作曲，收录在林俊杰2005年4月1日发行的专辑《编号89757》中。
260,简简单单,《简简单单》是2005年4月1日林俊杰演唱的歌曲，由向月娥、张思尔作词，林俊杰作曲，收录在林俊杰发行的专辑《编号89757》中。 [1]
261,无尽的思念,《无尽的思念》是林俊杰演唱的歌曲。由宋健彰（南拳妈妈弹头）作词，林俊杰作曲，收录在林俊杰2005年4月1日发行的专辑《编号89757》中。
262,盗,《盗》是林俊杰演唱的歌曲，由林秋离、张思尔、林俊杰（Rap部分）作词，林俊杰作曲，收录在林俊杰2005年4月1日发行的专辑《编号89757》中。
263,听不懂 没关系,《听不懂 没关系》是林俊杰演唱的歌曲，由AMY、林俊杰作词，林俊杰作曲，收录在林俊杰2005年4月1日发行的专辑《编号89757》中。
264,来不及了,《来不及了》是林俊杰创作的纯音乐，收录在林俊杰2005年4月1日发行的专辑《编号89757》中。
265,一千年以后,歌曲《一千年以后》，由林俊杰演唱，林秋离作词 [16]，林俊杰作曲，收录在林俊杰2005年4月1日发行的专辑《编号89757》中。
266,一开始,《一开始...》是林俊杰创作的纯音乐，由林俊杰作曲，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中。
267,第二天堂,《第二天堂》是林俊杰演唱的歌曲，由林秋离、张良忠作词，林俊杰作曲，林俊杰、Jacob Lin编曲 [1]，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中。 [2]
268,子弹列车,《子弹列车》是林俊杰演唱的歌曲，由方文山作词，林俊杰作曲，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中 [1]。
269,起床了,《起床了》是林俊杰创作的音乐，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中。
270,豆浆油条,歌曲《豆浆油条》，由林俊杰演唱，张思尔作词，林俊杰作曲，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中。
271,江南,《第二天堂》是林俊杰于2004年6月4日发行的第二张个人创作专辑，共收录15首歌曲。专辑由许环良监作，林俊杰包办整张专辑作曲，同时参与了编曲及制作。歌词大部分的填写及概念部分，则由林秋离把握。 [1]
272,害怕,《害怕》是林俊杰演唱的歌曲，由李瑞洵作词，林俊杰作曲，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中。 [1]
273,天使心,《天使心》是林俊杰演唱的歌曲，由张思尔、林秋离作词，林俊杰作曲，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中。
274,森林浴,《森林浴》是由林俊杰作曲的纯音乐，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中。
275,精灵,《精灵》是林俊杰演唱的歌曲，由林秋离作词，林俊杰作曲，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中 [1]
276,相信无限,《相信无限》是林俊杰演唱的歌曲，由张思尔作词、林俊杰作曲，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中。 [1]
277,美人鱼,《美人鱼》是林俊杰演唱的一首歌曲，由简胜、林秋离作词，林俊杰作曲，梁定江、Case Woo编曲，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中 [1]。
278,距离,《距离》是林俊杰演唱的歌曲，由林怡凤作词，林俊杰作曲，吴庆隆编曲，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中。 [1]
279,未完成,《未完成》是由林俊杰创作的纯音乐，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中。 [1]
280,Endless Road,《Endless Road》是林俊杰演唱的歌曲，由林俊杰作词、作曲，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中。 [1] 
281,就是我,《就是我》是林俊杰演唱的歌曲，由张思尔作词，林俊杰作曲，Case Woo编曲，林俊杰、许环良共同制作，收录在林俊杰2003年4月4日发行的个人首张录音室专辑《乐行者》中 [2]。
282,会读书,歌曲《会读书》，由林俊杰演唱，张思尔填词，林俊杰谱曲，收录在专辑《乐行者》中。 [1]
283,翅膀,《翅膀》是林俊杰演唱的歌曲，由张思尔作词，林俊杰作曲，收录在林俊杰2003年4月10日发行的个人第一张专辑《乐行者》中。 [1]
284,星球,《星球》是新加坡歌手林俊杰演唱的歌曲，由张思尔作词，林俊杰作曲，收录在林俊杰2003年4月10日发行的个人第一张专辑《乐行者》中。
285,冻结,歌曲《冻结》，由林俊杰演唱，张思尔作词，林俊杰作曲，收录在林俊杰2003年4月10日发行的个人第一张专辑《乐行者》中 [1]。《冻结》是林俊杰的代表作品之一。
286,压力,《压力》是新加坡歌手林俊杰演唱的一首歌曲，由张思尔作词，林俊杰作曲，收录在林俊杰2003年4月10日发行的个人第一张专辑《乐行者》中。 [1]
287,女儿家,歌曲《女儿家》，由林俊杰演唱，张思尔填词，林俊杰谱曲，收录在专辑《乐行者》中。
288,星空下的吻,《星空下的吻》是新加坡歌手林俊杰演唱的歌曲，由张思尔、林秋离作词，林俊杰作曲，收录在林俊杰2003年4月10日发行的个人第一张专辑《乐行者》中。
289,让我心动的人,歌曲《让我心动的人》，由林俊杰演唱，张思尔填词，林俊杰谱曲，收录在专辑《乐行者》中。
290,会有那么一天,《会有那么一天》是新加坡歌手林俊杰演唱的歌曲，由张思尔作词，林俊杰作曲，收录在林俊杰2003年4月10日发行的个人第一张专辑《乐行者》中。 [1]
291,不懂,《不懂》是林俊杰演唱的歌曲，由张思尔填词，林俊杰谱曲，收录在专辑《乐行者》中。
